time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
30.17,0.00167872347697892,0.0682295961321741,0.02611491851772,8.39698508064412e-06,0.000583367577504808,0.000129425639967089,125.391891378275,0.409763443900407,0.0651273677209264,7.82827955307525e-06,0.00310230679047044,0.633462829476479,-2.1415872947919e-05,-9.83320756965061,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.348864110588,3.26149749190516,-0.389003492110522
30.18,0.00167889638132995,0.0682354249644568,0.0261162256914018,8.35940038340776e-06,0.000582834990168786,0.000129443280675647,125.39150932371,0.409762217592463,0.065127372225409,7.84686697785663e-06,0.00310813110460969,0.633465889853193,-2.15419966556793e-05,-9.83314020111825,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.34847563276,3.26165226594988,-0.389732622881636
30.19,0.00167906892972828,0.0682412484666403,0.026117533034247,8.32196792690591e-06,0.000582301660569456,0.000129460878429296,125.391126773745,0.409760989707035,0.0651273767162878,7.86538209218264e-06,0.00311395010233419,0.633468954038279,-2.16676206792287e-05,-9.8330727407243,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.348086656959,3.2618070410824,-0.39046108101849
30.2,0.0016792411236578,0.0682470666313089,0.0261188405458092,8.28468708903946e-06,0.000581767589894563,0.000129478433408283,125.390743729003,0.409759760246108,0.0651273811934276,7.88382519215361e-06,0.00311976377636316,0.633472022025612,-2.1792747061334e-05,-9.83300518856628,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.347697183819,3.26196181728619,-0.391188865607543
30.21,0.00167941296459625,0.0682528794510591,0.026120148225644,8.24755725025978e-06,0.000581232779336425,0.000129495945792116,125.390360190101,0.409758529211668,0.0651273856566976,7.90219657265456e-06,0.00312557211942357,0.633475093809098,-2.19173778363835e-05,-9.83293754474236,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.347307213976,3.2621165945449,-0.39191597573627
30.22,0.00167958445401532,0.0682586869184991,0.0261214560733086,8.21057779355833e-06,0.00058069723009158,0.00012951341575956,125.389976157661,0.409757296605706,0.0651273901059714,7.92049652736027e-06,0.00313137512424981,0.633478169382674,-2.20415150304188e-05,-9.83286980935124,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.346916748064,3.26227137284228,-0.392642410493117
30.23,0.00167975559338064,0.0682644890262492,0.0261227640883622,8.17374810445619e-06,0.000580160943360449,0.000129530843488643,125.389591632304,0.409756062430211,0.0651273945411268,7.93872534874016e-06,0.00313717278358391,0.633481248740305,-2.21651606611752e-05,-9.83280198249226,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.346525786722,3.26242615216226,-0.393368168967537
30.24,0.00167992638415181,0.0682702857669416,0.0261240722703657,8.13706757099375e-06,0.000579623920346987,0.000129548229156661,125.389206614652,0.409754826687177,0.0651273989620462,7.95688332806325e-06,0.00314296509017555,0.633484331875994,-2.228831673812e-05,-9.83273406426533,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.346134330585,3.2625809324889,-0.394093250249981
30.25,0.00168009682778241,0.0682760771332207,0.0261253806188818,8.10053558372039e-06,0.000579086162258348,0.000129565572940177,125.388821105327,0.409753589378598,0.0651274033686163,7.97497075540313e-06,0.003148752036782,0.633487418783771,-2.24109852624719e-05,-9.83266605477095,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.34574238029,3.2627357138064,-0.394817653431895
30.26,0.00168026692572008,0.0682818631177428,0.0261266891334752,8.06415153568417e-06,0.000578547670304566,0.000129582875015026,125.388435104952,0.409752350506471,0.0651274077607281,7.99298791964281e-06,0.00315453361616847,0.633490509457699,-2.25331682272484e-05,-9.83259795411021,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.345349936477,3.26289049609912,-0.395541377605767
